t,theta
X:-0.30 gyroX:-0.11
0.00,-1.12
0.01,-1.30
0.01,-1.49
0.02,-1.64
0.02,-1.88
0.03,-2.16
0.04,-2.40
0.04,-2.57
0.05,-2.78
0.05,-2.98
0.06,-3.28
0.08,-4.01
0.09,-4.75
0.10,-5.70
0.11,-6.67
0.13,-7.84
0.14,-9.00
0.15,-10.29
0.16,-12.21
0.18,-14.03
