t,theta
X:0.02 gyroX:-0.03
0.00,-1.02
0.01,-1.35
0.01,-1.57
0.02,-1.78
0.02,-1.97
0.03,-2.21
0.04,-2.48
0.04,-2.85
0.05,-3.14
0.05,-3.46
0.06,-3.91
0.08,-4.86
0.09,-5.98
0.10,-7.23
0.11,-8.47
0.13,-9.83
0.14,-11.47
0.15,-13.34
