t,theta
X:-0.57 gyroX:-0.03
0.00,-1.06
0.01,-1.22
0.01,-1.41
0.02,-1.67
0.02,-2.22
0.03,-2.48
0.04,-2.55
0.04,-2.68
0.05,-2.86
0.05,-3.10
0.06,-3.50
0.07,-4.02
0.09,-4.82
0.10,-5.50
0.11,-6.38
0.12,-7.39
0.14,-8.53
0.15,-9.66
0.16,-10.90
0.18,-12.53
0.19,-14.20
