t,theta
X:-0.38 gyroX:0.05
0.00,-1.01
0.01,-1.19
0.01,-1.45
0.02,-1.61
0.03,-1.86
0.03,-2.11
0.04,-2.41
0.04,-2.69
0.05,-3.02
0.06,-3.41
0.06,-3.82
0.08,-4.74
0.09,-5.76
0.10,-7.11
0.11,-8.35
0.13,-9.69
0.14,-11.17
0.15,-13.26
